# emoji-zwj-sequences.txt
# Date: 2018-02-07, 08:40:26 GMT
# © 2018 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji ZWJ Sequences for UTS #51
# Version: 11.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field: Emoji_ZWJ_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Emoji ZWJ Sequence: Family

1F468 200D 2764 FE0F 200D 1F468             ; Emoji_ZWJ_Sequence  ; couple with heart: man, man                                    #  6.0  [1] (👨‍❤️‍👨)
1F9D9 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man mage: dark skin tone                                       # 10.0  [1] (🧙🏿‍♂️)
1F9DA 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman fairy                                                    # 10.0  [1] (🧚‍♀️)
1F9DA 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man fairy                                                      # 10.0  [1] (🧚‍♂️)
1F9DA 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman fairy: light skin tone                                   # 10.0  [1] (🧚🏻‍♀️)
1F9DA 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man fairy: light skin tone                                     # 10.0  [1] (🧚🏻‍♂️)
1F9DA 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman fairy: medium-light skin tone                            # 10.0  [1] (🧚🏼‍♀️)
1F9DA 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man fairy: medium-light skin tone                              # 10.0  [1] (🧚🏼‍♂️)
1F9DA 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman fairy: medium skin tone                                  # 10.0  [1] (🧚🏽‍♀️)
1F9DA 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man fairy: medium skin tone                                    # 10.0  [1] (🧚🏽‍♂️)
1F9DA 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman fairy: medium-dark skin tone                             # 10.0  [1] (🧚🏾‍♀️)
1F9DA 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man fairy: medium-dark skin tone                               # 10.0  [1] (🧚🏾‍♂️)
1F9DA 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman fairy: dark skin tone                                    # 10.0  [1] (🧚🏿‍♀️)
1F9DA 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man fairy: dark skin tone                                      # 10.0  [1] (🧚🏿‍♂️)
1F9DB 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman vampire                                                  # 10.0  [1] (🧛‍♀️)
1F9DB 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man vampire                                                    # 10.0  [1] (🧛‍♂️)
1F9DB 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman vampire: light skin tone                                 # 10.0  [1] (🧛🏻‍♀️)
1F9DB 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man vampire: light skin tone                                   # 10.0  [1] (🧛🏻‍♂️)
1F9DB 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman vampire: medium-light skin tone                          # 10.0  [1] (🧛🏼‍♀️)
1F9DB 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man vampire: medium-light skin tone                            # 10.0  [1] (🧛🏼‍♂️)
1F9DB 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman vampire: medium skin tone                                # 10.0  [1] (🧛🏽‍♀️)
1F9DB 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man vampire: medium skin tone                                  # 10.0  [1] (🧛🏽‍♂️)
1F9DB 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman vampire: medium-dark skin tone                           # 10.0  [1] (🧛🏾‍♀️)
1F9DB 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man vampire: medium-dark skin tone                             # 10.0  [1] (🧛🏾‍♂️)
1F9DB 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman vampire: dark skin tone                                  # 10.0  [1] (🧛🏿‍♀️)
1F9DB 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man vampire: dark skin tone                                    # 10.0  [1] (🧛🏿‍♂️)
1F9DC 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; mermaid                                                        # 10.0  [1] (🧜‍♀️)
1F9DC 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; merman                                                         # 10.0  [1] (🧜‍♂️)
1F9DC 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; mermaid: light skin tone                                       # 10.0  [1] (🧜🏻‍♀️)
1F9DC 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; merman: light skin tone                                        # 10.0  [1] (🧜🏻‍♂️)
1F9DC 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; mermaid: medium-light skin tone                                # 10.0  [1] (🧜🏼‍♀️)
1F9DC 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; merman: medium-light skin tone                                 # 10.0  [1] (🧜🏼‍♂️)
1F9DC 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; mermaid: medium skin tone                                      # 10.0  [1] (🧜🏽‍♀️)
1F9DC 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; merman: medium skin tone                                       # 10.0  [1] (🧜🏽‍♂️)
1F9DC 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; mermaid: medium-dark skin tone                                 # 10.0  [1] (🧜🏾‍♀️)
1F9DC 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; merman: medium-dark skin tone                                  # 10.0  [1] (🧜🏾‍♂️)
1F9DC 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; mermaid: dark skin tone                                        # 10.0  [1] (🧜🏿‍♀️)
1F9DC 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; merman: dark skin tone                                         # 10.0  [1] (🧜🏿‍♂️)
1F9DD 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman elf                                                      # 10.0  [1] (🧝‍♀️)
1F9DD 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man elf                                                        # 10.0  [1] (🧝‍♂️)
1F9DD 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman elf: light skin tone                                     # 10.0  [1] (🧝🏻‍♀️)
1F9DD 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man elf: light skin tone                                       # 10.0  [1] (🧝🏻‍♂️)
1F9DD 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman elf: medium-light skin tone                              # 10.0  [1] (🧝🏼‍♀️)
1F9DD 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man elf: medium-light skin tone                                # 10.0  [1] (🧝🏼‍♂️)
1F9DD 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman elf: medium skin tone                                    # 10.0  [1] (🧝🏽‍♀️)
1F9DD 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man elf: medium skin tone                                      # 10.0  [1] (🧝🏽‍♂️)
1F9DD 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman elf: medium-dark skin tone                               # 10.0  [1] (🧝🏾‍♀️)
1F9DD 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man elf: medium-dark skin tone                                 # 10.0  [1] (🧝🏾‍♂️)
1F9DD 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman elf: dark skin tone                                      # 10.0  [1] (🧝🏿‍♀️)
1F9DD 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man elf: dark skin tone                                        # 10.0  [1] (🧝🏿‍♂️)
1F9DE 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman genie                                                    # 10.0  [1] (🧞‍♀️)
1F9DE 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man genie                                                      # 10.0  [1] (🧞‍♂️)
1F9DF 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman zombie                                                   # 10.0  [1] (🧟‍♀️)
1F9DF 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man zombie                                                     # 10.0  [1] (🧟‍♂️)

# Total elements: 136

# ================================================

# Emoji ZWJ Sequence: Gendered Activity

26F9 1F3FB 200D 2640 FE0F                   ; Emoji_ZWJ_Sequence  ; woman bouncing ball: light skin tone                           #  8.0  [1] (⛹🏻‍♀️)
26F9 1F3FB 200D 2642 FE0F                   ; Emoji_ZWJ_Sequence  ; man bouncing ball: light skin tone                             #  8.0  [1] (⛹🏻‍♂️)
26F9 1F3FC 200D 2640 FE0F                   ; Emoji_ZWJ_Sequence  ; woman bouncing ball: medium-light skin tone                    #  8.0  [1] (⛹🏼‍♀️)
26F9 1F3FC 200D 2642 FE0F                   ; Emoji_ZWJ_Sequence  ; man bouncing ball: medium-light skin tone                      #  8.0  [1] (⛹🏼‍♂️)
26F9 1F3FD 200D 2640 FE0F                   ; Emoji_ZWJ_Sequence  ; woman bouncing ball: medium skin tone                          #  8.0  [1] (⛹🏽‍♀️)
26F9 1F3FD 200D 2642 FE0F                   ; Emoji_ZWJ_Sequence  ; man bouncing ball: medium skin tone                            #  8.0  [1] (⛹🏽‍♂️)
26F9 1F3FE 200D 2640 FE0F                   ; Emoji_ZWJ_Sequence  ; woman bouncing ball: medium-dark skin tone                     #  8.0  [1] (⛹🏾‍♀️)
26F9 1F3FE 200D 2642 FE0F                   ; Emoji_ZWJ_Sequence  ; man bouncing ball: medium-dark skin tone                       #  8.0  [1] (⛹🏾‍♂️)
26F9 1F3FF 200D 2640 FE0F                   ; Emoji_ZWJ_Sequence  ; woman bouncing ball: dark skin tone                            #  8.0  [1] (⛹🏿‍♀️)
26F9 1F3FF 200D 2642 FE0F                   ; Emoji_ZWJ_Sequence  ; man bouncing ball: dark skin tone                              #  8.0  [1] (⛹🏿‍♂️)
26F9 FE0F 200D 2640 FE0F                    ; Emoji_ZWJ_Sequence  ; woman bouncing ball                                            #  5.2  [1] (⛹️‍♀️)
26F9 FE0F 200D 2642 FE0F                    ; Emoji_ZWJ_Sequence  ; man bouncing ball                                              #  5.2  [1] (⛹️‍♂️)
1F3C3 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman running                                                  #  6.0  [1] (🏃‍♀️)
1F3C3 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man running                                                    #  6.0  [1] (🏃‍♂️)
1F3C3 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman running: light skin tone                                 #  8.0  [1] (🏃🏻‍♀️)
1F3C3 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man running: light skin tone                                   #  8.0  [1] (🏃🏻‍♂️)
1F3C3 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman running: medium-light skin tone                          #  8.0  [1] (🏃🏼‍♀️)
1F3C3 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man running: medium-light skin tone                            #  8.0  [1] (🏃🏼‍♂️)
1F3C3 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman running: medium skin tone                                #  8.0  [1] (🏃🏽‍♀️)
1F3C3 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man running: medium skin tone                                  #  8.0  [1] (🏃🏽‍♂️)
1F3C3 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman running: medium-dark skin tone                           #  8.0  [1] (🏃🏾‍♀️)
1F3C3 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man running: medium-dark skin tone                             #  8.0  [1] (🏃🏾‍♂️)
1F3C3 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman running: dark skin tone                                  #  8.0  [1] (🏃🏿‍♀️)
1F3C3 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man running: dark skin tone                                    #  8.0  [1] (🏃🏿‍♂️)
1F3C4 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman surfing                                                  #  6.0  [1] (🏄‍♀️)
1F3C4 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man surfing                                                    #  6.0  [1] (🏄‍♂️)
1F3C4 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman surfing: light skin tone                                 #  8.0  [1] (🏄🏻‍♀️)
1F3C4 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man surfing: light skin tone                                   #  8.0  [1] (🏄🏻‍♂️)
1F3C4 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman surfing: medium-light skin tone                          #  8.0  [1] (🏄🏼‍♀️)
1F3C4 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man surfing: medium-light skin tone                            #  8.0  [1] (🏄🏼‍♂️)
1F3C4 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman surfing: medium skin tone                                #  8.0  [1] (🏄🏽‍♀️)
1F3C4 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man surfing: medium skin tone                                  #  8.0  [1] (🏄🏽‍♂️)
1F3C4 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman surfing: medium-dark skin tone                           #  8.0  [1] (🏄🏾‍♀️)
1F3C4 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man surfing: medium-dark skin tone                             #  8.0  [1] (🏄🏾‍♂️)
1F3C4 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman surfing: dark skin tone                                  #  8.0  [1] (🏄🏿‍♀️)
1F3C4 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man surfing: dark skin tone                                    #  8.0  [1] (🏄🏿‍♂️)
1F3CA 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman swimming                                                 #  6.0  [1] (🏊‍♀️)
1F3CA 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man swimming                                                   #  6.0  [1] (🏊‍♂️)
1F3CA 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman swimming: light skin tone                                #  8.0  [1] (🏊🏻‍♀️)
1F3CA 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man swimming: light skin tone                                  #  8.0  [1] (🏊🏻‍♂️)
1F3CA 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman swimming: medium-light skin tone                         #  8.0  [1] (🏊🏼‍♀️)
1F3CA 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man swimming: medium-light skin tone                           #  8.0  [1] (🏊🏼‍♂️)
1F3CA 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman swimming: medium skin tone                               #  8.0  [1] (🏊🏽‍♀️)
1F3CA 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man swimming: medium skin tone                                 #  8.0  [1] (🏊🏽‍♂️)
1F3CA 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman swimming: medium-dark skin tone                          #  8.0  [1] (🏊🏾‍♀️)
1F3CA 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man swimming: medium-dark skin tone                            #  8.0  [1] (🏊🏾‍♂️)
1F3CA 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman swimming: dark skin tone                                 #  8.0  [1] (🏊🏿‍♀️)
1F3CA 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man swimming: dark skin tone                                   #  8.0  [1] (🏊🏿‍♂️)
1F3CB 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman lifting weights: light skin tone                         #  8.0  [1] (🏋🏻‍♀️)
1F3CB 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man lifting weights: light skin tone                           #  8.0  [1] (🏋🏻‍♂️)
1F3CB 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman lifting weights: medium-light skin tone                  #  8.0  [1] (🏋🏼‍♀️)
1F3CB 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man lifting weights: medium-light skin tone                    #  8.0  [1] (🏋🏼‍♂️)
1F3CB 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman lifting weights: medium skin tone                        #  8.0  [1] (🏋🏽‍♀️)
1F3CB 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man lifting weights: medium skin tone                          #  8.0  [1] (🏋🏽‍♂️)
1F3CB 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman lifting weights: medium-dark skin tone                   #  8.0  [1] (🏋🏾‍♀️)
1F3CB 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man lifting weights: medium-dark skin tone                     #  8.0  [1] (🏋🏾‍♂️)
1F3CB 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman lifting weights: dark skin tone                          #  8.0  [1] (🏋🏿‍♀️)
1F3CB 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man lifting weights: dark skin tone                            #  8.0  [1] (🏋🏿‍♂️)
1F3CB FE0F 200D 2640 FE0F                   ; Emoji_ZWJ_Sequence  ; woman lifting weights                                          #  7.0  [1] (🏋️‍♀️)
1F3CB FE0F 200D 2642 FE0F                   ; Emoji_ZWJ_Sequence  ; man lifting weights                                            #  7.0  [1] (🏋️‍♂️)
1F3CC 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman golfing: light skin tone                                 #  8.0  [1] (🏌🏻‍♀️)
1F3CC 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man golfing: light skin tone                                   #  8.0  [1] (🏌🏻‍♂️)
1F3CC 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman golfing: medium-light skin tone                          #  8.0  [1] (🏌🏼‍♀️)
1F3CC 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man golfing: medium-light skin tone                            #  8.0  [1] (🏌🏼‍♂️)
1F3CC 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman golfing: medium skin tone                                #  8.0  [1] (🏌🏽‍♀️)
1F3CC 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man golfing: medium skin tone                                  #  8.0  [1] (🏌🏽‍♂️)
1F3CC 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman golfing: medium-dark skin tone                           #  8.0  [1] (🏌🏾‍♀️)
1F3CC 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man golfing: medium-dark skin tone                             #  8.0  [1] (🏌🏾‍♂️)
1F3CC 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman golfing: dark skin tone                                  #  8.0  [1] (🏌🏿‍♀️)
1F3CC 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man golfing: dark skin tone                                    #  8.0  [1] (🏌🏿‍♂️)
1F3CC FE0F 200D 2640 FE0F                   ; Emoji_ZWJ_Sequence  ; woman golfing                                                  #  7.0  [1] (🏌️‍♀️)
1F3CC FE0F 200D 2642 FE0F                   ; Emoji_ZWJ_Sequence  ; man golfing                                                    #  7.0  [1] (🏌️‍♂️)
1F46F 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; women with bunny ears                                          #  6.0  [1] (👯‍♀️)
1F46F 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; men with bunny ears                                            #  6.0  [1] (👯‍♂️)
1F486 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman getting massage                                          #  6.0  [1] (💆‍♀️)
1F486 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man getting massage                                            #  6.0  [1] (💆‍♂️)
1F486 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman getting massage: light skin tone                         #  8.0  [1] (💆🏻‍♀️)
1F486 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man getting massage: light skin tone                           #  8.0  [1] (💆🏻‍♂️)
1F486 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman getting massage: medium-light skin tone                  #  8.0  [1] (💆🏼‍♀️)
1F486 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man getting massage: medium-light skin tone                    #  8.0  [1] (💆🏼‍♂️)
1F486 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman getting massage: medium skin tone                        #  8.0  [1] (💆🏽‍♀️)
1F486 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man getting massage: medium skin tone                          #  8.0  [1] (💆🏽‍♂️)
1F486 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman getting massage: medium-dark skin tone                   #  8.0  [1] (💆🏾‍♀️)
1F486 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man getting massage: medium-dark skin tone                     #  8.0  [1] (💆🏾‍♂️)
1F486 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman getting massage: dark skin tone                          #  8.0  [1] (💆🏿‍♀️)
1F486 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man getting massage: dark skin tone                            #  8.0  [1] (💆🏿‍♂️)
1F487 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman getting haircut                                          #  6.0  [1] (💇‍♀️)
1F487 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man getting haircut                                            #  6.0  [1] (💇‍♂️)
1F487 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman getting haircut: light skin tone                         #  8.0  [1] (💇🏻‍♀️)
1F487 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man getting haircut: light skin tone                           #  8.0  [1] (💇🏻‍♂️)
1F487 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman getting haircut: medium-light skin tone                  #  8.0  [1] (💇🏼‍♀️)
1F487 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man getting haircut: medium-light skin tone                    #  8.0  [1] (💇🏼‍♂️)
1F487 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman getting haircut: medium skin tone                        #  8.0  [1] (💇🏽‍♀️)
1F487 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man getting haircut: medium skin tone                          #  8.0  [1] (💇🏽‍♂️)
1F487 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman getting haircut: medium-dark skin tone                   #  8.0  [1] (💇🏾‍♀️)
1F487 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man getting haircut: medium-dark skin tone                     #  8.0  [1] (💇🏾‍♂️)
1F487 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman getting haircut: dark skin tone                          #  8.0  [1] (💇🏿‍♀️)
1F487 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man getting haircut: dark skin tone                            #  8.0  [1] (💇🏿‍♂️)
1F6A3 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman rowing boat                                              #  6.0  [1] (🚣‍♀️)
1F6A3 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man rowing boat                                                #  6.0  [1] (🚣‍♂️)
1F6A3 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman rowing boat: light skin tone                             #  8.0  [1] (🚣🏻‍♀️)
1F6A3 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man rowing boat: light skin tone                               #  8.0  [1] (🚣🏻‍♂️)
1F6A3 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman rowing boat: medium-light skin tone                      #  8.0  [1] (🚣🏼‍♀️)
1F6A3 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man rowing boat: medium-light skin tone                        #  8.0  [1] (🚣🏼‍♂️)
1F6A3 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman rowing boat: medium skin tone                            #  8.0  [1] (🚣🏽‍♀️)
1F6A3 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man rowing boat: medium skin tone                              #  8.0  [1] (🚣🏽‍♂️)
1F6A3 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman rowing boat: medium-dark skin tone                       #  8.0  [1] (🚣🏾‍♀️)
1F6A3 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man rowing boat: medium-dark skin tone                         #  8.0  [1] (🚣🏾‍♂️)
1F6A3 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman rowing boat: dark skin tone                              #  8.0  [1] (🚣🏿‍♀️)
1F6A3 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man rowing boat: dark skin tone                                #  8.0  [1] (🚣🏿‍♂️)
1F6B4 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman biking                                                   #  6.0  [1] (🚴‍♀️)
1F6B4 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man biking                                                     #  6.0  [1] (🚴‍♂️)
1F6B4 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman biking: light skin tone                                  #  8.0  [1] (🚴🏻‍♀️)
1F6B4 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man biking: light skin tone                                    #  8.0  [1] (🚴🏻‍♂️)
1F6B4 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman biking: medium-light skin tone                           #  8.0  [1] (🚴🏼‍♀️)
1F6B4 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man biking: medium-light skin tone                             #  8.0  [1] (🚴🏼‍♂️)
1F6B4 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman biking: medium skin tone                                 #  8.0  [1] (🚴🏽‍♀️)
1F6B4 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man biking: medium skin tone                                   #  8.0  [1] (🚴🏽‍♂️)
